"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562PcafPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol2Ifng30StdPk.narrowPeak.csv"
"jaccard_index","0.0145794257243677"
"pi_score","1.65142842393053"
"p_value","0.5"
"percentage_A","0.0146848812060583"
"percentage_B","0.669990241845472"
"Min.","0.00611936169233194"
"1st Qu.","0.00611936169233194"
"Median","0.00611936169233194"
"Mean","0.00611936169233194"
"3rd Qu.","0.00611936169233194"
"Max.","0.00611936169233194"
