"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562PcafPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Stat1Ifna6hStdPk.narrowPeak.csv"
"jaccard_index","0.000190720896989523"
"pi_score","1.76651726991386"
"p_value","0.5"
"percentage_A","0.000190739538352277"
"percentage_B","0.661185509030327"
"Min.","7.48351880129642e-05"
"1st Qu.","7.48351880129642e-05"
"Median","7.48351880129642e-05"
"Mean","7.48351880129642e-05"
"3rd Qu.","7.48351880129642e-05"
"Max.","7.48351880129642e-05"
