"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Plu1StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol2Ifng6hStdPk.narrowPeak.csv"
"jaccard_index","0.0490435844934486"
"pi_score","7.41756381017111"
"p_value","0.5"
"percentage_A","0.0492334654389709"
"percentage_B","0.927094112906536"
"Min.","0.00458296324590744"
"1st Qu.","0.00458296324590744"
"Median","0.00458296324590744"
"Mean","0.00458296324590744"
"3rd Qu.","0.00458296324590744"
"Max.","0.00458296324590744"
