"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Rbbp5a300109aStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Cbx3sc101004V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.0586334522654459"
"pi_score","4.7939559729589"
"p_value","0.5"
"percentage_A","0.0601556452225175"
"percentage_B","0.698535423540892"
"Min.","0.00847767738242396"
"1st Qu.","0.00847767738242396"
"Median","0.00847767738242396"
"Mean","0.00847767738242396"
"3rd Qu.","0.00847767738242396"
"Max.","0.00847767738242396"
