"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Rbbp5a300109aStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Pu1Pcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.0155689340550687"
"pi_score","3.20513208682874"
"p_value","0.5"
"percentage_A","0.0158204219236176"
"percentage_B","0.494796288466859"
"Min.","0.00336696349861578"
"1st Qu.","0.00336696349861578"
"Median","0.00336696349861578"
"Mean","0.00336696349861578"
"3rd Qu.","0.00336696349861578"
"Max.","0.00336696349861578"
