"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Rbbp5a300109aStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol2s2StdPk.narrowPeak.csv"
"jaccard_index","0.0197233511451828"
"pi_score","1.40847429338474"
"p_value","0.5"
"percentage_A","0.0210966981259207"
"percentage_B","0.232528904820796"
"Min.","0.00970637895323147"
"1st Qu.","0.00970637895323147"
"Median","0.00970637895323147"
"Mean","0.00970637895323147"
"3rd Qu.","0.00970637895323147"
"Max.","0.00970637895323147"
