"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Rbbp5a300109aStdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Usf2IggrabPk.narrowPeak.csv"
"jaccard_index","0.00602469194336141"
"pi_score","4.82377700552103"
"p_value","0.5"
"percentage_A","0.00603501932509932"
"percentage_B","0.778793042286119"
"Min.","0.000865711294179553"
"1st Qu.","0.000865711294179553"
"Median","0.000865711294179553"
"Mean","0.000865711294179553"
"3rd Qu.","0.000865711294179553"
"Max.","0.000865711294179553"
