"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562RestPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol2s2IggrabPk.narrowPeak.csv"
"jaccard_index","0.0509354350691041"
"pi_score","1.63313441960793"
"p_value","0.5"
"percentage_A","0.0602333057413211"
"percentage_B","0.24810280851135"
"Min.","0.0216184000440206"
"1st Qu.","0.0216184000440206"
"Median","0.0216184000440206"
"Mean","0.0216184000440206"
"3rd Qu.","0.0216184000440206"
"Max.","0.0216184000440206"
