"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Rnf2Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Setdb1Pk.broadPeak.csv"
"jaccard_index","0.228710386362994"
"pi_score","1.78216180177639"
"p_value","0.5"
"percentage_A","0.548934292139069"
"percentage_B","0.281640142339429"
"Min.","0.0889537410768586"
"1st Qu.","0.0889537410768586"
"Median","0.0889537410768586"
"Mean","0.0889537410768586"
"3rd Qu.","0.0889537410768586"
"Max.","0.0889537410768586"
