"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Sap3039731StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Setdb1Pk.broadPeak.csv"
"jaccard_index","0.190979256006709"
"pi_score","2.11403145253554"
"p_value","0.5"
"percentage_A","0.646091307798324"
"percentage_B","0.213292293334074"
"Min.","0.0626181472786109"
"1st Qu.","0.0626181472786109"
"Median","0.0626181472786109"
"Mean","0.0626181472786109"
"3rd Qu.","0.0626181472786109"
"Max.","0.0626181472786109"
