"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Sap3039731StdPk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562CmycIfna30StdPk.narrowPeak.csv"
"jaccard_index","0.00696788629929452"
"pi_score","7.54490375262561"
"p_value","0.5"
"percentage_A","0.00697010618220484"
"percentage_B","0.956290151474495"
"Min.","0.00064013682628324"
"1st Qu.","0.00064013682628324"
"Median","0.00064013682628324"
"Mean","0.00064013682628324"
"3rd Qu.","0.00064013682628324"
"Max.","0.00064013682628324"
