"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Sirt6Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562NelfeStdPk.narrowPeak.csv"
"jaccard_index","0.000361822584258092"
"pi_score","3.97534614824886"
"p_value","0.5"
"percentage_A","0.000361835800759979"
"percentage_B","0.908305888582829"
"Min.","6.30879160678587e-05"
"1st Qu.","6.30879160678587e-05"
"Median","6.30879160678587e-05"
"Mean","6.30879160678587e-05"
"3rd Qu.","6.30879160678587e-05"
"Max.","6.30879160678587e-05"
