"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Suz12051317Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Mef2aV0416101PkRep1.broadPeak.csv"
"jaccard_index","0.00110580761346006"
"pi_score","1.50288320342705"
"p_value","0.5"
"percentage_A","0.00110843734728359"
"percentage_B","0.317918202138585"
"Min.","0.000510011308772184"
"1st Qu.","0.000510011308772184"
"Median","0.000510011308772184"
"Mean","0.000510011308772184"
"3rd Qu.","0.000510011308772184"
"Max.","0.000510011308772184"
