"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeBroadHistoneK562Suz12051317Pk.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Atf106325StdPk.narrowPeak.csv"
"jaccard_index","0.0105087510847207"
"pi_score","1.41678654843626"
"p_value","0.5"
"percentage_A","0.0107603802828291"
"percentage_B","0.310051760911408"
"Min.","0.00514129047429203"
"1st Qu.","0.00514129047429203"
"Median","0.00514129047429203"
"Mean","0.00514129047429203"
"3rd Qu.","0.00514129047429203"
"Max.","0.00514129047429203"
