"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Cbx3sc101004V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Nfe2StdPk.narrowPeak.csv"
"jaccard_index","0.010248486919015"
"pi_score","32.1285951424931"
"p_value","0.5"
"percentage_A","0.0103086295735832"
"percentage_B","0.637237049320526"
"Min.","0.000221102409906663"
"1st Qu.","0.000221102409906663"
"Median","0.000221102409906663"
"Mean","0.000221102409906663"
"3rd Qu.","0.000221102409906663"
"Max.","0.000221102409906663"
