"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Cebpbsc150V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Pol24h8V0416101PkRep1.broadPeak.csv"
"jaccard_index","0.15184372917963"
"pi_score","44.006128281252"
"p_value","0.5"
"percentage_A","0.327494962291851"
"percentage_B","0.220641641376897"
"Min.","0.0023917135380303"
"1st Qu.","0.0023917135380303"
"Median","0.0023917135380303"
"Mean","0.0023917135380303"
"3rd Qu.","0.0023917135380303"
"Max.","0.0023917135380303"
