"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Cebpbsc150V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562CjunIggrabPk.narrowPeak.csv"
"jaccard_index","0.108106031647067"
"pi_score","30.4485020115244"
"p_value","0.5"
"percentage_A","0.261203674304702"
"percentage_B","0.15572085069921"
"Min.","0.00246098776909706"
"1st Qu.","0.00246098776909706"
"Median","0.00246098776909706"
"Mean","0.00246098776909706"
"3rd Qu.","0.00246098776909706"
"Max.","0.00246098776909706"
