"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Creb1sc240V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Znf143IggrabPk.narrowPeak.csv"
"jaccard_index","0.122655182637334"
"pi_score","60.1331493301764"
"p_value","0.5"
"percentage_A","0.55812421049753"
"percentage_B","0.135847022565585"
"Min.","0.00141383072353852"
"1st Qu.","0.00141383072353852"
"Median","0.00141383072353852"
"Mean","0.00141383072353852"
"3rd Qu.","0.00141383072353852"
"Max.","0.00141383072353852"
