"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562CtcfcPcr1xPkRep1V2.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Irf1Ifng30StdPk.narrowPeak.csv"
"jaccard_index","0.0672377720583211"
"pi_score","14.8066970703937"
"p_value","0.5"
"percentage_A","0.124458177728633"
"percentage_B","0.127587390247071"
"Min.","0.00314760759322526"
"1st Qu.","0.00314760759322526"
"Median","0.00314760759322526"
"Mean","0.00314760759322526"
"3rd Qu.","0.00314760759322526"
"Max.","0.00314760759322526"
