"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Ctcflsc98982V0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Ets1V0416101PkRep1.broadPeak.csv"
"jaccard_index","0.088973453527714"
"pi_score","165.78979793952"
"p_value","0.5"
"percentage_A","0.340751496260122"
"percentage_B","0.107473520708426"
"Min.","0.000371987294899255"
"1st Qu.","0.000371987294899255"
"Median","0.000371987294899255"
"Mean","0.000371987294899255"
"3rd Qu.","0.000371987294899255"
"Max.","0.000371987294899255"
