"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562E2f6V0416102PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Rad21StdPk.narrowPeak.csv"
"jaccard_index","0.0103120475762301"
"pi_score","10.2186884659554"
"p_value","0.5"
"percentage_A","0.0202027008305016"
"percentage_B","0.0206289268812645"
"Min.","0.000699479852730359"
"1st Qu.","0.000699479852730359"
"Median","0.000699479852730359"
"Mean","0.000699479852730359"
"3rd Qu.","0.000699479852730359"
"Max.","0.000699479852730359"
