"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Elf1sc631V0416102PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562MaxIggrabPk.narrowPeak.csv"
"jaccard_index","0.328211327388881"
"pi_score","108.079325992226"
"p_value","0.5"
"percentage_A","0.774578444162673"
"percentage_B","0.362872006517401"
"Min.","0.00210492389843182"
"1st Qu.","0.00210492389843182"
"Median","0.00210492389843182"
"Mean","0.00210492389843182"
"3rd Qu.","0.00210492389843182"
"Max.","0.00210492389843182"
