"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Ets1V0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Hdac2sc6296V0416102PkRep1.broadPeak.csv"
"jaccard_index","0.225037335083521"
"pi_score","118.888556614393"
"p_value","0.5"
"percentage_A","0.402385879789114"
"percentage_B","0.338005651291505"
"Min.","0.00131201857248372"
"1st Qu.","0.00131201857248372"
"Median","0.00131201857248372"
"Mean","0.00131201857248372"
"3rd Qu.","0.00131201857248372"
"Max.","0.00131201857248372"
