"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Ets1V0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Taf1V0416101PkRep1.broadPeak.csv"
"jaccard_index","0.365245457951623"
"pi_score","255.337647582012"
"p_value","0.5"
"percentage_A","0.69457222413062"
"percentage_B","0.435132654152966"
"Min.","0.000991506194989041"
"1st Qu.","0.000991506194989041"
"Median","0.000991506194989041"
"Mean","0.000991506194989041"
"3rd Qu.","0.000991506194989041"
"Max.","0.000991506194989041"
