"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Ets1V0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Tf3c110StdPk.narrowPeak.csv"
"jaccard_index","0.0511636700005618"
"pi_score","161.091874988267"
"p_value","0.5"
"percentage_A","0.0586971428794066"
"percentage_B","0.285020929077623"
"Min.","0.000220147376213554"
"1st Qu.","0.000220147376213554"
"Median","0.000220147376213554"
"Mean","0.000220147376213554"
"3rd Qu.","0.000220147376213554"
"Max.","0.000220147376213554"
