"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562GabpV0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Usf1V0416101PkRep1.broadPeak.csv"
"jaccard_index","0.103369085014621"
"pi_score","73.9114587266395"
"p_value","0.5"
"percentage_A","0.244530791969947"
"percentage_B","0.151869334929972"
"Min.","0.000969403000148357"
"1st Qu.","0.000969403000148357"
"Median","0.000969403000148357"
"Mean","0.000969403000148357"
"3rd Qu.","0.000969403000148357"
"Max.","0.000969403000148357"
