"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562GabpV0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Elk112771IggrabPk.narrowPeak.csv"
"jaccard_index","0.238681456881192"
"pi_score","197.651322438083"
"p_value","0.5"
"percentage_A","0.408537289708016"
"percentage_B","0.364706941013666"
"Min.","0.000837036539135552"
"1st Qu.","0.000837036539135552"
"Median","0.000837036539135552"
"Mean","0.000837036539135552"
"3rd Qu.","0.000837036539135552"
"Max.","0.000837036539135552"
