"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Gata2sc267Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Setdb1UcdPk.narrowPeak.csv"
"jaccard_index","0.00596585893306547"
"pi_score","7.89146789096786"
"p_value","0.5"
"percentage_A","0.00673732405997876"
"percentage_B","0.0495207006402388"
"Min.","0.000524011293742402"
"1st Qu.","0.000524011293742402"
"Median","0.000524011293742402"
"Mean","0.000524011293742402"
"3rd Qu.","0.000524011293742402"
"Max.","0.000524011293742402"
