"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Hdac2sc6296V0416102PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562NfyaStdPk.narrowPeak.csv"
"jaccard_index","0.0595842992328155"
"pi_score","58.744616057252"
"p_value","0.5"
"percentage_A","0.0849942405700329"
"percentage_B","0.166183581319515"
"Min.","0.000703054880444105"
"1st Qu.","0.000703054880444105"
"Median","0.000703054880444105"
"Mean","0.000703054880444105"
"3rd Qu.","0.000703054880444105"
"Max.","0.000703054880444105"
