"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Hdac2sc6296V0416102PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol2Ifng6hStdPk.narrowPeak.csv"
"jaccard_index","0.146029630378874"
"pi_score","71.179428235332"
"p_value","0.5"
"percentage_A","0.399656438786335"
"percentage_B","0.187063573889632"
"Min.","0.00142204045585581"
"1st Qu.","0.00142204045585581"
"Median","0.00142204045585581"
"Mean","0.00142204045585581"
"3rd Qu.","0.00142204045585581"
"Max.","0.00142204045585581"
