"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562MaxV0416102PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol2Ifna30StdPk.narrowPeak.csv"
"jaccard_index","0.249180853315222"
"pi_score","81.5786210928239"
"p_value","0.5"
"percentage_A","0.330485797151994"
"percentage_B","0.503195089613454"
"Min.","0.00211720918558356"
"1st Qu.","0.00211720918558356"
"Median","0.00211720918558356"
"Mean","0.00211720918558356"
"3rd Qu.","0.00211720918558356"
"Max.","0.00211720918558356"
