"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Mef2aV0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Six5V0416101PkRep1.broadPeak.csv"
"jaccard_index","0.00228507622827341"
"pi_score","10.3357356756284"
"p_value","0.5"
"percentage_A","0.00274258195998752"
"percentage_B","0.0135131030628485"
"Min.","0.000153244451551434"
"1st Qu.","0.000153244451551434"
"Median","0.000153244451551434"
"Mean","0.000153244451551434"
"3rd Qu.","0.000153244451551434"
"Max.","0.000153244451551434"
