"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Mef2aV0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Irf1Ifna6hStdPk.narrowPeak.csv"
"jaccard_index","0.0303554939919797"
"pi_score","48.8121233640772"
"p_value","0.5"
"percentage_A","0.349846565823816"
"percentage_B","0.0321703020063846"
"Min.","0.000431057360854944"
"1st Qu.","0.000431057360854944"
"Median","0.000431057360854944"
"Mean","0.000431057360854944"
"3rd Qu.","0.000431057360854944"
"Max.","0.000431057360854944"
