"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Pu1Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Mafkab50322IggrabPk.narrowPeak.csv"
"jaccard_index","0.0633598850759896"
"pi_score","18.1323973721996"
"p_value","0.5"
"percentage_A","0.194186133590618"
"percentage_B","0.0859611763759253"
"Min.","0.00242205841839527"
"1st Qu.","0.00242205841839527"
"Median","0.00242205841839527"
"Mean","0.00242205841839527"
"3rd Qu.","0.00242205841839527"
"Max.","0.00242205841839527"
