"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Sin3ak20V0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Irf1Ifna6hStdPk.narrowPeak.csv"
"jaccard_index","0.0377317554676183"
"pi_score","105.11083210629"
"p_value","0.5"
"percentage_A","0.591080561719822"
"percentage_B","0.0387430840417743"
"Min.","0.000248819835176548"
"1st Qu.","0.000248819835176548"
"Median","0.000248819835176548"
"Mean","0.000248819835176548"
"3rd Qu.","0.000248819835176548"
"Max.","0.000248819835176548"
