"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Six5Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Ccnt2StdPk.narrowPeak.csv"
"jaccard_index","0.0213691679734593"
"pi_score","10.2825840172595"
"p_value","0.5"
"percentage_A","0.110936240751987"
"percentage_B","0.0257850204421252"
"Min.","0.00144049185563211"
"1st Qu.","0.00144049185563211"
"Median","0.00144049185563211"
"Mean","0.00144049185563211"
"3rd Qu.","0.00144049185563211"
"Max.","0.00144049185563211"
