"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Six5Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Gata2UcdPk.narrowPeak.csv"
"jaccard_index","0.0041644960693732"
"pi_score","4.93753459062118"
"p_value","0.5"
"percentage_A","0.00651743801873856"
"percentage_B","0.0114037350598941"
"Min.","0.000584625516228708"
"1st Qu.","0.000584625516228708"
"Median","0.000584625516228708"
"Mean","0.000584625516228708"
"3rd Qu.","0.000584625516228708"
"Max.","0.000584625516228708"
