"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Sp1Pcr1xPkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Gtf2f1ab28179IggrabPk.narrowPeak.csv"
"jaccard_index","0.0728056078636287"
"pi_score","133.23299427003"
"p_value","0.5"
"percentage_A","0.628040975833783"
"percentage_B","0.0760864021546446"
"Min.","0.000378772556273466"
"1st Qu.","0.000378772556273466"
"Median","0.000378772556273466"
"Mean","0.000378772556273466"
"3rd Qu.","0.000378772556273466"
"Max.","0.000378772556273466"
