"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Sp2sc643V0416102PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Trim28sc81411V0422111PkRep1.broadPeak.csv"
"jaccard_index","0.0434874013264349"
"pi_score","68.514175979165"
"p_value","0.5"
"percentage_A","0.469540033137217"
"percentage_B","0.0457343108399791"
"Min.","0.000439955223696533"
"1st Qu.","0.000439955223696533"
"Median","0.000439955223696533"
"Mean","0.000439955223696533"
"3rd Qu.","0.000439955223696533"
"Max.","0.000439955223696533"
