"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Thap1sc98174V0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Irf1Ifng30StdPk.narrowPeak.csv"
"jaccard_index","0.0576408871630629"
"pi_score","73.4177999233932"
"p_value","0.5"
"percentage_A","0.561009073578716"
"percentage_B","0.0603635317765796"
"Min.","0.000544195255969806"
"1st Qu.","0.000544195255969806"
"Median","0.000544195255969806"
"Mean","0.000544195255969806"
"3rd Qu.","0.000544195255969806"
"Max.","0.000544195255969806"
