"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Trim28sc81411V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Zbtb33Pcr1xPkRep1.broadPeak.csv"
"jaccard_index","0.0377720286270018"
"pi_score","18.2958720493075"
"p_value","0.5"
"percentage_A","0.0542275106020675"
"percentage_B","0.110695476105717"
"Min.","0.00143100996095055"
"1st Qu.","0.00143100996095055"
"Median","0.00143100996095055"
"Mean","0.00143100996095055"
"3rd Qu.","0.00143100996095055"
"Max.","0.00143100996095055"
