"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Trim28sc81411V0422111PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Ccnt2StdPk.narrowPeak.csv"
"jaccard_index","0.237752544321774"
"pi_score","60.1710883071214"
"p_value","0.5"
"percentage_A","0.5649359025007"
"percentage_B","0.291041042496228"
"Min.","0.00273881544117072"
"1st Qu.","0.00273881544117072"
"Median","0.00273881544117072"
"Mean","0.00273881544117072"
"3rd Qu.","0.00273881544117072"
"Max.","0.00273881544117072"
