"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Yy1V0416102PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Gtf2f1ab28179IggrabPk.narrowPeak.csv"
"jaccard_index","0.0771098412218456"
"pi_score","207.67967341895"
"p_value","0.5"
"percentage_A","0.690022785733994"
"percentage_B","0.0798767611710625"
"Min.","0.000257360136196508"
"1st Qu.","0.000257360136196508"
"Median","0.000257360136196508"
"Mean","0.000257360136196508"
"3rd Qu.","0.000257360136196508"
"Max.","0.000257360136196508"
