"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeHaibTfbsK562Yy1sc281V0416101PkRep1.broadPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562CjunStdPk.narrowPeak.csv"
"jaccard_index","0.0635438723220249"
"pi_score","59.3078134644876"
"p_value","0.5"
"percentage_A","0.0748569205435286"
"percentage_B","0.296003331841366"
"Min.","0.000742655197839087"
"1st Qu.","0.000742655197839087"
"Median","0.000742655197839087"
"Mean","0.000742655197839087"
"3rd Qu.","0.000742655197839087"
"Max.","0.000742655197839087"
