"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Arid3asc8821IggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Tblr1nb600270IggrabPk.narrowPeak.csv"
"jaccard_index","0.357387333721561"
"pi_score","70.3601958801322"
"p_value","0.5"
"percentage_A","0.640043925696422"
"percentage_B","0.447288834079812"
"Min.","0.00352076937305523"
"1st Qu.","0.00352076937305523"
"Median","0.00352076937305523"
"Mean","0.00352076937305523"
"3rd Qu.","0.00352076937305523"
"Max.","0.00352076937305523"
