"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Arid3asc8821IggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Znfmizdcp1ab65767IggrabPk.narrowPeak.csv"
"jaccard_index","0.281702056100028"
"pi_score","62.5203623091355"
"p_value","0.5"
"percentage_A","0.453307476111916"
"percentage_B","0.42664998018967"
"Min.","0.00312315825967538"
"1st Qu.","0.00312315825967538"
"Median","0.00312315825967538"
"Mean","0.00312315825967538"
"3rd Qu.","0.00312315825967538"
"Max.","0.00312315825967538"
