"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Atf106325StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Corestab24166IggrabPk.narrowPeak.csv"
"jaccard_index","0.22091811343424"
"pi_score","50.9753660496855"
"p_value","0.5"
"percentage_A","0.408048765987173"
"percentage_B","0.325110569717454"
"Min.","0.00300397582848766"
"1st Qu.","0.00300397582848766"
"Median","0.00300397582848766"
"Mean","0.00300397582848766"
"3rd Qu.","0.00300397582848766"
"Max.","0.00300397582848766"
