"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Brf2StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Znf143IggrabPk.narrowPeak.csv"
"jaccard_index","0.000571097062612509"
"pi_score","10.5031721897495"
"p_value","0.5"
"percentage_A","0.704075729687089"
"percentage_B","0.000571234177724231"
"Min.","3.76890249559328e-05"
"1st Qu.","3.76890249559328e-05"
"Median","3.76890249559328e-05"
"Mean","3.76890249559328e-05"
"3rd Qu.","3.76890249559328e-05"
"Max.","3.76890249559328e-05"
