"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562CfosStdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562CjunIggrabPk.narrowPeak.csv"
"jaccard_index","0.0545918096560686"
"pi_score","70.4444572532725"
"p_value","0.5"
"percentage_A","0.562483243317204"
"percentage_B","0.0570127528791269"
"Min.","0.000537163041922809"
"1st Qu.","0.000537163041922809"
"Median","0.000537163041922809"
"Mean","0.000537163041922809"
"3rd Qu.","0.000537163041922809"
"Max.","0.000537163041922809"
