"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562CfosStdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562CtcfbIggrabPk.narrowPeak.csv"
"jaccard_index","0.0228586424827816"
"pi_score","24.5505814157999"
"p_value","0.5"
"percentage_A","0.321220755543804"
"percentage_B","0.0240188273329528"
"Min.","0.000645377937085064"
"1st Qu.","0.000645377937085064"
"Median","0.000645377937085064"
"Mean","0.000645377937085064"
"3rd Qu.","0.000645377937085064"
"Max.","0.000645377937085064"
