"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562CfosStdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Stat1Ifng30StdPk.narrowPeak.csv"
"jaccard_index","0.0117714658425605"
"pi_score","419.130390959883"
"p_value","0.5"
"percentage_A","0.0143659086328581"
"percentage_B","0.0611922224956928"
"Min.","1.94673508192573e-05"
"1st Qu.","1.94673508192573e-05"
"Median","1.94673508192573e-05"
"Mean","1.94673508192573e-05"
"3rd Qu.","1.94673508192573e-05"
"Max.","1.94673508192573e-05"
