"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Chd2ab68301IggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Stat2Ifna30StdPk.narrowPeak.csv"
"jaccard_index","0.0120771439814369"
"pi_score","82.4064284706675"
"p_value","0.5"
"percentage_A","0.0122090182158376"
"percentage_B","0.527881276656467"
"Min.","0.000101584772636145"
"1st Qu.","0.000101584772636145"
"Median","0.000101584772636145"
"Mean","0.000101584772636145"
"3rd Qu.","0.000101584772636145"
"Max.","0.000101584772636145"
