"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562CjunIggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Gtf2f1ab28179IggrabPk.narrowPeak.csv"
"jaccard_index","0.101704478336277"
"pi_score","37.9585267204471"
"p_value","0.5"
"percentage_A","0.125899178104476"
"percentage_B","0.346075233281593"
"Min.","0.00185718937218752"
"1st Qu.","0.00185718937218752"
"Median","0.00185718937218752"
"Mean","0.00185718937218752"
"3rd Qu.","0.00185718937218752"
"Max.","0.00185718937218752"
