"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562CjunStdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Pol2s2IggrabPk.narrowPeak.csv"
"jaccard_index","0.0135162331966953"
"pi_score","7.61165856894876"
"p_value","0.5"
"percentage_A","0.342478426971772"
"percentage_B","0.013876319628501"
"Min.","0.0012308406699033"
"1st Qu.","0.0012308406699033"
"Median","0.0012308406699033"
"Mean","0.0012308406699033"
"3rd Qu.","0.0012308406699033"
"Max.","0.0012308406699033"
