"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562CmycIfna6hStdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Setdb1MnasedUcdPk.narrowPeak.csv"
"jaccard_index","0.00176623541165839"
"pi_score","1.45754597413089"
"p_value","0.5"
"percentage_A","0.00282476539311807"
"percentage_B","0.004691218316322"
"Min.","0.000839946813016416"
"1st Qu.","0.000839946813016416"
"Median","0.000839946813016416"
"Mean","0.000839946813016416"
"3rd Qu.","0.000839946813016416"
"Max.","0.000839946813016416"
