"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562CmycIfng6hStdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Irf1Ifng30StdPk.narrowPeak.csv"
"jaccard_index","0.223631188142795"
"pi_score","90.6845260799068"
"p_value","0.5"
"percentage_A","0.652494299680342"
"percentage_B","0.253867173780566"
"Min.","0.00170932500005417"
"1st Qu.","0.00170932500005417"
"Median","0.00170932500005417"
"Mean","0.00170932500005417"
"3rd Qu.","0.00170932500005417"
"Max.","0.00170932500005417"
