"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562CmycIggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Yy1UcdPk.narrowPeak.csv"
"jaccard_index","0.0542269391746004"
"pi_score","68.3339842143708"
"p_value","0.5"
"percentage_A","0.0544561710447822"
"percentage_B","0.927964870682573"
"Min.","0.000550052077767847"
"1st Qu.","0.000550052077767847"
"Median","0.000550052077767847"
"Mean","0.000550052077767847"
"3rd Qu.","0.000550052077767847"
"Max.","0.000550052077767847"
