"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Gata1UcdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562TbpIggmusPk.narrowPeak.csv"
"jaccard_index","0.0271339120944721"
"pi_score","62.1364614413663"
"p_value","0.5"
"percentage_A","0.69369152203414"
"percentage_B","0.0274629548298007"
"Min.","0.000302685319208148"
"1st Qu.","0.000302685319208148"
"Median","0.000302685319208148"
"Mean","0.000302685319208148"
"3rd Qu.","0.000302685319208148"
"Max.","0.000302685319208148"
