"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Hcfc1nb10068209IggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Znf263UcdPk.narrowPeak.csv"
"jaccard_index","0.0353106636924039"
"pi_score","58.2126427323862"
"p_value","0.5"
"percentage_A","0.0373747826219654"
"percentage_B","0.390008253656392"
"Min.","0.000420449679541407"
"1st Qu.","0.000420449679541407"
"Median","0.000420449679541407"
"Mean","0.000420449679541407"
"3rd Qu.","0.000420449679541407"
"Max.","0.000420449679541407"
