"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Hmgn3StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Rfx5IggrabPk.narrowPeak.csv"
"jaccard_index","0.0965075640603341"
"pi_score","38.6153963487396"
"p_value","0.5"
"percentage_A","0.125084858060161"
"percentage_B","0.296973014134268"
"Min.","0.00173231281447956"
"1st Qu.","0.00173231281447956"
"Median","0.00173231281447956"
"Mean","0.00173231281447956"
"3rd Qu.","0.00173231281447956"
"Max.","0.00173231281447956"
