"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Hmgn3StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Stat1Ifng6hStdPk.narrowPeak.csv"
"jaccard_index","0.00911039551872055"
"pi_score","38.393149259631"
"p_value","0.5"
"percentage_A","0.00925311429408556"
"percentage_B","0.371333626566042"
"Min.","0.00016447843142232"
"1st Qu.","0.00016447843142232"
"Median","0.00016447843142232"
"Mean","0.00016447843142232"
"3rd Qu.","0.00016447843142232"
"Max.","0.00016447843142232"
