"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Hmgn3StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Tal1sc12984IggmusPk.narrowPeak.csv"
"jaccard_index","0.19179772146078"
"pi_score","38.8879225897345"
"p_value","0.5"
"percentage_A","0.335674283915967"
"percentage_B","0.309143101747796"
"Min.","0.00341864622779967"
"1st Qu.","0.00341864622779967"
"Median","0.00341864622779967"
"Mean","0.00341864622779967"
"3rd Qu.","0.00341864622779967"
"Max.","0.00341864622779967"
