"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Irf1Ifng30StdPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562MaxIggrabPk.narrowPeak.csv"
"jaccard_index","0.27927156226634"
"pi_score","59.15706734242"
"p_value","0.5"
"percentage_A","0.471009634013214"
"percentage_B","0.406893544841822"
"Min.","0.00327224294056031"
"1st Qu.","0.00327224294056031"
"Median","0.00327224294056031"
"Mean","0.00327224294056031"
"3rd Qu.","0.00327224294056031"
"Max.","0.00327224294056031"
