"","x"
"query","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562JundIggrabPk.narrowPeak.csv"
"hit","~/Desktop/AmyHighSchool/BaoNorthwestern_hotspot/Col3DIR_NewDownload_Peak_K562/wgEncodeSydhTfbsK562Znf263UcdPk.narrowPeak.csv"
"jaccard_index","0.0188503479332269"
"pi_score","34.4282647259549"
"p_value","0.5"
"percentage_A","0.0192990437023005"
"percentage_B","0.447751887911758"
"Min.","0.000379515657454554"
"1st Qu.","0.000379515657454554"
"Median","0.000379515657454554"
"Mean","0.000379515657454554"
"3rd Qu.","0.000379515657454554"
"Max.","0.000379515657454554"
